CMDLINE 32069
MEM 902.625000 1731076086.5073
MEM 902.625000 1731076086.6078
MEM 902.625000 1731076086.7083
MEM 902.625000 1731076086.8087
MEM 902.625000 1731076086.9093
MEM 902.625000 1731076087.0102
MEM 902.625000 1731076087.1108
MEM 902.625000 1731076087.2114
MEM 902.625000 1731076087.3118
MEM 902.625000 1731076087.4123
MEM 902.625000 1731076087.5128
MEM 902.625000 1731076087.6133
MEM 902.625000 1731076087.7140
MEM 902.625000 1731076087.8149
MEM 902.625000 1731076087.9154
MEM 902.625000 1731076088.0160
MEM 902.625000 1731076088.1163
MEM 902.625000 1731076088.2167
MEM 902.625000 1731076088.3172
MEM 902.625000 1731076088.4177
MEM 902.625000 1731076088.5180
MEM 902.625000 1731076088.6184
MEM 902.625000 1731076088.7189
MEM 902.625000 1731076088.8193
MEM 902.625000 1731076088.9197
MEM 904.625000 1731076089.0201
MEM 904.625000 1731076089.1205
MEM 904.625000 1731076089.2209
MEM 904.625000 1731076089.3213
MEM 904.625000 1731076089.4217
MEM 904.625000 1731076089.5222
MEM 904.625000 1731076089.6227
MEM 904.625000 1731076089.7232
MEM 904.625000 1731076089.8236
MEM 904.625000 1731076089.9240
MEM 904.625000 1731076090.0246
MEM 904.625000 1731076090.1250
MEM 904.875000 1731076090.2253
MEM 960.058594 1731076090.3258
MEM 960.058594 1731076090.4261
MEM 912.449219 1731076090.5265
MEM 912.449219 1731076090.6270
MEM 912.449219 1731076090.7275
MEM 912.449219 1731076090.8279
MEM 912.449219 1731076090.9283
MEM 959.644531 1731076091.0288
MEM 959.644531 1731076091.1291
MEM 990.484375 1731076091.2297
MEM 990.484375 1731076091.3301
MEM 990.742188 1731076091.4306
MEM 990.742188 1731076091.5311
MEM 935.933594 1731076091.6315
MEM 999.015625 1731076091.7319
MEM 945.066406 1731076091.8322
MEM 904.718750 1731076091.9325
MEM 904.718750 1731076092.0329
MEM 904.718750 1731076092.1333
MEM 904.718750 1731076092.2338
MEM 904.718750 1731076092.3343
MEM 904.718750 1731076092.4347
MEM 904.718750 1731076092.5351
MEM 904.718750 1731076092.6356
MEM 904.718750 1731076092.7361
MEM 904.718750 1731076092.8366
MEM 904.718750 1731076092.9372
MEM 904.718750 1731076093.0377
MEM 904.718750 1731076093.1381
MEM 904.718750 1731076093.2386
MEM 904.718750 1731076093.3390
MEM 904.718750 1731076093.4394
MEM 904.718750 1731076093.5398
MEM 959.656250 1731076093.6402
MEM 959.656250 1731076093.7406
MEM 959.656250 1731076093.8409
MEM 959.656250 1731076093.9413
MEM 959.656250 1731076094.0418
MEM 959.656250 1731076094.1422
MEM 1005.660156 1731076094.2427
MEM 1007.164062 1731076094.3432
MEM 1007.164062 1731076094.4436
MEM 1038.738281 1731076094.5440
MEM 1038.738281 1731076094.6444
MEM 1038.738281 1731076094.7448
MEM 984.027344 1731076094.8452
MEM 1018.843750 1731076094.9456
MEM 992.968750 1731076095.0459
MEM 952.460938 1731076095.1463
MEM 952.460938 1731076095.2468
MEM 952.460938 1731076095.3472
MEM 952.460938 1731076095.4476
MEM 952.460938 1731076095.5480
MEM 952.460938 1731076095.6483
MEM 952.460938 1731076095.7487
MEM 952.460938 1731076095.8493
MEM 952.460938 1731076095.9497
MEM 952.714844 1731076096.0502
MEM 952.972656 1731076096.1507
MEM 952.972656 1731076096.2511
MEM 953.488281 1731076096.3515
MEM 954.261719 1731076096.4519
MEM 954.777344 1731076096.5524
MEM 954.777344 1731076096.6528
MEM 954.777344 1731076096.7532
MEM 955.035156 1731076096.8537
MEM 955.035156 1731076096.9542
MEM 955.035156 1731076097.0547
MEM 953.046875 1731076097.1550
MEM 953.046875 1731076097.2553
MEM 953.046875 1731076097.3557
MEM 953.046875 1731076097.4562
MEM 953.046875 1731076097.5568
